client_id,ab_group,home_view,impressions,clicks,applies,approvals,revenue,ctr,cr_apply,cr_home_apply,approval_rate,arpu
2140,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2141,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2142,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2143,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2144,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2145,A_control,1,1,1,1,1,14.66,1.0,1.0,1.0,1.0,14.66
2146,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2147,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2148,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2149,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2150,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2151,A_control,1,1,1,1,0,0.0,1.0,1.0,1.0,0.0,0.0
2152,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2153,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2154,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2155,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2156,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2157,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2158,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2159,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2160,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2161,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2162,A_control,1,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0
2163,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2164,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2165,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2166,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2167,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2168,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2169,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2170,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2171,A_control,1,1,1,1,1,14.66,1.0,1.0,1.0,1.0,14.66
2172,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2173,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2174,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2175,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2176,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2177,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2178,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2179,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2180,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2181,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2182,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2183,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2184,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2185,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2186,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2187,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2188,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2189,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2190,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2191,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2192,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2193,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2194,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2195,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2196,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2197,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2198,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2199,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2200,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2201,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2202,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2203,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2204,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2205,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2206,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2207,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2208,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2209,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2210,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2211,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2212,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2213,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2214,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2215,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2216,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2217,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2218,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2219,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2220,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2221,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2222,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2223,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2224,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2225,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2226,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2227,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2228,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2229,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2230,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2231,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2232,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2233,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2234,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2235,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2236,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2237,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2238,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2239,A_control,1,1,1,1,1,22.85,1.0,1.0,1.0,1.0,22.85
2240,A_control,1,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2241,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2242,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2243,A_control,1,1,1,1,1,39.43,1.0,1.0,1.0,1.0,39.43
2244,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2245,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2246,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2247,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2248,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2249,A_control,1,1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2250,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2251,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2252,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2253,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2254,A_control,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2255,A_control,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
