dt,client_id,ab_group,event_type,offer_id,value
2025-04-01 00:01:08,9150,B_test,home_view,,
2025-04-01 00:01:11,11635,B_test,home_view,,
2025-04-01 00:01:14,10649,B_test,home_view,,
2025-04-01 00:01:16,9516,B_test,home_view,,
2025-04-01 00:01:17,9638,B_test,home_view,,
2025-04-01 00:01:18,8985,B_test,home_view,,
2025-04-01 00:01:18,11429,B_test,home_view,,
2025-04-01 00:01:19,11899,B_test,home_view,,
2025-04-01 00:01:20,10930,B_test,home_view,,
2025-04-01 00:01:20,11171,B_test,home_view,,
2025-04-01 00:01:26,8043,B_test,home_view,,
2025-04-01 00:01:27,11805,B_test,home_view,,
2025-04-01 00:01:29,10707,B_test,home_view,,
2025-04-01 00:01:30,8406,B_test,home_view,,
2025-04-01 00:01:42,9180,B_test,home_view,,
2025-04-01 00:01:42,11493,B_test,home_view,,
2025-04-01 00:01:43,8570,B_test,home_view,,
2025-04-01 00:01:43,10327,B_test,home_view,,
2025-04-01 00:01:52,7544,B_test,home_view,,
2025-04-01 00:01:53,8777,B_test,home_view,,
2025-04-01 00:01:53,9051,B_test,home_view,,
2025-04-01 00:01:54,10826,B_test,home_view,,
2025-04-01 00:02:01,8168,B_test,home_view,,
2025-04-01 00:02:01,10529,B_test,home_view,,
2025-04-01 00:02:02,9942,B_test,home_view,,
2025-04-01 00:02:04,7413,B_test,home_view,,
2025-04-01 00:02:05,11135,B_test,home_view,,
2025-04-01 00:02:09,11071,B_test,home_view,,
2025-04-01 00:02:10,9124,B_test,home_view,,
2025-04-01 00:02:14,10668,B_test,home_view,,
2025-04-01 00:02:15,10267,B_test,home_view,,
2025-04-01 00:02:21,10714,B_test,home_view,,
2025-04-01 00:02:23,8068,B_test,home_view,,
2025-04-01 00:02:24,9275,B_test,home_view,,
2025-04-01 00:02:28,8040,B_test,home_view,,
2025-04-01 00:02:30,7571,B_test,home_view,,
2025-04-01 00:02:30,8843,B_test,home_view,,
2025-04-01 00:02:30,9964,B_test,home_view,,
2025-04-01 00:02:32,9495,B_test,home_view,,
2025-04-01 00:02:33,7402,B_test,home_view,,
2025-04-01 00:02:44,8890,B_test,home_view,,
2025-04-01 00:02:50,10807,B_test,home_view,,
2025-04-01 00:02:50,11734,B_test,home_view,,
2025-04-01 00:02:51,10782,B_test,home_view,,
2025-04-01 00:03:01,8766,B_test,home_view,,
2025-04-01 00:03:01,10822,B_test,home_view,,
2025-04-01 00:03:01,11797,B_test,home_view,,
2025-04-01 00:03:04,7492,B_test,home_view,,
2025-04-01 00:03:08,7701,B_test,home_view,,
2025-04-01 00:03:09,10460,B_test,home_view,,
2025-04-01 00:03:12,9958,B_test,home_view,,
2025-04-01 00:03:13,10673,B_test,home_view,,
2025-04-01 00:03:17,7827,B_test,home_view,,
2025-04-01 00:03:20,10582,B_test,home_view,,
2025-04-01 00:03:24,10670,B_test,home_view,,
2025-04-01 00:03:27,8624,B_test,home_view,,
2025-04-01 00:03:29,9172,B_test,home_view,,
2025-04-01 00:03:29,10472,B_test,home_view,,
2025-04-01 00:03:31,10815,B_test,home_view,,
2025-04-01 00:03:33,9961,B_test,home_view,,
2025-04-01 00:03:35,12029,B_test,home_view,,
